,texto,polaridad
110,El Obelisco se renueva antes de cumplir 85 años Cuatro meses de prisión preventiva en un centro penitenciario para Jeanine Áñez,Neutral
111,Cuatro meses de prisión preventiva en un centro penitenciario para Jeanine Áñez ¿A DÓNDE FUERON? 😳,Neutral
112,Después de 11 años de lucha desalojaron a miles de ratas de una isla Argentina vacuna sólo a tres adultos mayores por cada diez dosis y la brecha crece,Neutral
113,"Argentina vacuna sólo a tres adultos mayores por cada diez dosis y la brecha crece Rusia anuncia acuerdos con España, Italia, Francia y Alemania para producir la vacuna Sputnik V",Neutral
114,"Rusia anuncia acuerdos con España, Italia, Francia y Alemania para producir la vacuna Sputnik V Anuncian las nominaciones a los Oscar. Más: http://clar.in/3lpvTS4 Detuvieron a 5 personas por las agresiones a Alberto Fernández en Chubut",Neutral
115,"Detuvieron a 5 personas por las agresiones a Alberto Fernández en Chubut La vacuna de AstraZeneca no tiene relación con trombos, aseguran los responsable de Oxford",Neutral
116,"La vacuna de AstraZeneca no tiene relación con trombos, aseguran los responsable de Oxford 📸 EN FOTOS: Beijing cubierta con polvo amarillo durante la mayor tormenta de arena en casi una década.",Neutral
117,Fotografías de Beijing cubierta con polvo amarillo durante la mayor tormenta de arena en casi una... VIDEO: un hombre murió y otros tres resultaron heridos de gravedad al ser alcanzados por un rayo.,Neutral
118,Un hombre murió y otros tres resultaron heridos de gravedad al ser alcanzados por un rayo Cómo fue el robo y que se llevaron de la casa de Ángel Di María.,Neutral
119,"Cómo fue el robo y que se llevaron de la casa de Ángel Di María En esta nueva sociedad en la que vivimos, hay chistes que ya quedaron en el pasado.",Neutral
120,"Los chistes que no van Murió al caer de un cuarto piso, pero su familia denuncia un femicidio",Neutral
121,"Murió al caer de un cuarto piso, pero su familia denuncia un femicidio La Iglesia Católica afirmó que no aprobará uniones homosexuales porque no puede ""bendecir el pecado""",Neutral
122,La Iglesia Católica afirmó que no aprobará uniones homosexuales Holanda se suma a los países de Europa que suspenden el uso de la vacuna de AstraZeneca.,Neutral
123,Holanda se suma a los países de Europa que suspenden el uso de la vacuna de AstraZeneca Qué cocinar esta semana: menú día por día del 15 al 21 de marzo,Neutral
124,Qué cocinar esta semana: menú día por día del 15 al 21 de marzo TRISTE FINAL 😔,Neutral
