,texto,polaridad
87,"Un gran objeto de origen desconocido iluminó el cielo de Siberia el pasado 11 de marzo y los habitantes de esa zona de Rusia pensaron que era un cuerpo celeste, pero se trataba de una plataforma con baterías que pesaba 2,5 toneladas y arrojaron desde la Estación Espacial Internacional ese mismo día. La NASA estima que ese objeto, la basura más pesada procedente de la EEI, tardará entre dos y cuatro años en abandonar la órbita terrestre. Un conductor de Uber pidió a dos de sus tres pasajeras que usaran mascarilla dentro de su auto y le insultaron, tosieron en la cara y agredieron, mientras que una habría rociado el interior del vehículo con gas pimienta tras salir. La existencia de Rusia y el hecho de que muestre la capacidad de proteger sus intereses nacionales son la causa de las restricciones en materia económica políticamente motivadas, afirmó Vladímir Putin. ❗️ Austria denuncia un reparto desigual de vacunas en la UE",Neutral
88,March 9 at 7:21 PM ·,Neutral
89,"❗️ En EEUU, aumentó en un 28% el número de detenciones de migrantes en la frontera Científicos del Instituto Politécnico Nacional de México crearon y patentaron una mascarilla nasal que se puede mantener puesta al comer o beber. Se cumplen 10 años de uno de los terremotos más devastadores registrados en el mundo, un fenómeno que provocó un tsunami que mató a más de 18.000 personas y provocó la catástrofe en la planta Nuclear de Fukushima (Japón). Estas fotografías muestran diferentes lugares antes y después de la tragedia, así como su estado actual. El presidente de Rusia, Vladímir Putin, cifró el mercado mundial de vacunas contra el coronavirus en alrededor de 100.000 millones de dólares y destacó cómo se comportan los competidores de su país. ""No sigan ninguna decisión imbécil del presidente"".",Neutral
90,March 11 at 6:00 PM ·,Neutral
91,Lula critica el modo en que Bolsonaro gestiona la pandemia,Neutral
92,❗️ La Casa Blanca insta a no cruzar la frontera sur de EE.UU.,Neutral
93,❗️ El Parlamento Europeo levanta la inmunidad de Carles Puigdemont Se escuchan comentarios machistas en la retransmisión de los Premios Goya del cine español,Neutral
94,March 9 at 7:00 PM ·,Neutral
95,Se escuchan comentarios machistas en la retransmisión de los Premios Goya del cine español,Neutral
96,"➡️ https://es.rt.com/89nu ""La violencia no es la respuesta a todo"", manifestó Bridgett Floyd, la hermana menor de George Floyd, en la primera jornada del juicio contra el expolicía Derek Chauvin, acusado de matar a su hermano cuando le detuvo en Mineápolis (Minnesota, EE.UU.) en mayo de 2020. Un día como hoy de 1934 nació el cosmonauta soviético Yuri Gagarin, quien fue el primer ser humano en el espacio el 12 de abril de 1961 a bordo de la nave Vostok-1 ❗️ El Parlamento Europeo levanta la inmunidad de Carles Puigdemont",Neutral
